
*
*hpt
Name, HPV Address, PrintType, divisor, multiplier, coherent, help
State 4 Unsynced Reverse,0x813,32bits,256,0,No,In Watts. (32 bits),
State 4 Unsynced Forward,0x693,16bits,1,0,No,In Watts.,
State 4 Unsynced Forward,0x823,32bits,256,0,No,In Watts. (32 bits),
State 4 Unsynced Delivered,0x6a3,16bits,1,0,No,In Watts.,
State 4 Unsynced Delivered,0x833,32bits,256,0,No,In Watts. (32 bits),
State 4 Unsynced Reflection Ratio,0x6b3,16bits,1000,0,No,,
State 4 Unsynced Reflection Coefficient,0x8e3,16bits,1000,0,No,,
State 4 Unsynced VSWR,0x8f3,16bits,100,0,No,,
State 4 Synced Reverse,0x6c3,16bits,1,0,No,In Watts.,
State 4 Synced Reverse,0x843,32bits,256,0,No,In Watts. (32 bits),
State 4 Synced Forward,0x6d3,16bits,1,0,No,In Watts.,
State 4 Synced Forward,0x853,32bits,256,0,No,In Watts. (32 bits),
State 4 Synced Delivered,0x6e3,16bits,1,0,No,In Watts.,
State 4 Synced Delivered,0x863,32bits,256,0,No,In Watts. (32 bits),
State 4 Synced Reflection Ratio,0x6f3,16bits,1000,0,No,,
State 2 Desired Power Setpoint,0x9d,16bits,1,0,No,,
Actual Pulsing Frequency,0x9e,16bits,1,0,No,,
Actual Pulsing Duty Cycle,0x9f,16bits,100,0,No,,
Actual Pulsing Frequency (1000ths),0x4d,16bits,1000,0,No,,
Ramping Active,0xae0,16bits,0,0,No,One bit for each pulse state,
PFS Main Voltage 1,0x41,24bits,10,0,No,,
PFS Ring Voltage 1,0x42,24bits,10,0,No,,
PFS Phase Actuator 1,0x43,24bits,10,0,No,,
PFS Phase Delta 1,0x44,24bits,10,0,No,,
PFS Slave Voltage Setpoint Pulse State 1,0x394,24bits,10,0,No,,
PFS Main Voltage 2,0x67,24bits,10,0,No,,
PFS Ring Voltage 2,0x6a,24bits,10,0,No,,
PFS Phase Actuator 2,0x49,24bits,10,0,No,,
PFS Phase Delta 2,0x4a,24bits,10,0,No,,
PFS Slave Voltage Setpoint Pulse State 2,0x395,24bits,10,0,No,,
PFS Main Voltage 3,0x68,24bits,10,0,No,,
PFS Ring Voltage 3,0x6b,24bits,10,0,No,,
PFS Phase Actuator 3,0x6e,24bits,10,0,No,,
PFS Phase Delta 3,0x6f,24bits,10,0,No,,
PFS Slave Voltage Setpoint Pulse State 3,0x396,24bits,10,0,No,,
PFS Main Voltage 4,0x69,24bits,10,0,No,,
PFS Ring Voltage 4,0x6c,24bits,10,0,No,,
PFS Phase Actuator 4,0x71,24bits,10,0,No,,
PFS Phase Delta 4,0x72,24bits,10,0,No,,
PFS Slave Voltage Setpoint Pulse State 4,0x397,24bits,10,0,No,,
RTS Pulsing Frequency Min,0x230,16bits,0,0,Coherent RTS Data,,
RTS Pulsing Frequency Max,0x231,16bits,0,0,Coherent RTS Data,,
RTS Pulsing Frequency Average,0x232,16bits,0,0,Coherent RTS Data,,
RTS Pulsing Frequency Standard Dev,0x233,16bits,100,0,Coherent RTS Data,,
RTS Pulsing Duty Cycle Min,0x234,16bits,100,0,Coherent RTS Data,,
RTS Pulsing Duty Cycle Max,0x235,16bits,100,0,Coherent RTS Data,,
RTS Pulsing Duty Cycle Average,0x236,16bits,100,0,Coherent RTS Data,,
RTS Pulsing Duty Cycle Standard Dev,0x237,16bits,10000,0,Coherent RTS Data,,
State 1 RTS Forward Min,0x200,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Forward Min,0x750,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Forward Max,0x204,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Forward Max,0x760,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Forward Mean,0x208,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Forward Mean,0x770,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Forward StdDev,0x20c,16bits,100,0,Coherent RTS Data,(16 bits),
State 1 RTS Forward StdDev,0x780,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Reverse Min,0x210,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Reverse Min,0x790,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Reverse Max,0x214,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Reverse Max,0x7a0,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Reverse Mean,0x218,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Reverse Mean,0x7b0,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Reverse StdDev,0x21c,16bits,100,0,Coherent RTS Data,(16 bits),
State 1 RTS Reverse StdDev,0x7c0,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Delivered Min,0x240,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Delivered Min,0x7d0,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Delivered Max,0x244,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Delivered Max,0x7e0,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Delivered Mean,0x248,16bits,0,0,Coherent RTS Data,(16 bits),
State 1 RTS Delivered Mean,0x7f0,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Delivered StdDev,0x24c,16bits,100,0,Coherent RTS Data,(16 bits),
State 1 RTS Delivered StdDev,0x800,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Gamma Mag Squared Min,0x220,16bits,1000,0,Coherent RTS Data,,
State 1 RTS Gamma Mag Squared Max,0x224,16bits,1000,0,Coherent RTS Data,,
State 1 RTS Gamma Mag Squared Mean,0x228,16bits,1000,0,Coherent RTS Data,,
State 1 RTS Gamma Mag Squared StdDev,0x22c,16bits,10000,0,Coherent RTS Data,,
State 2 RTS Forward Min,0x201,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Forward Min,0x751,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Forward Max,0x205,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Forward Max,0x761,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Forward Mean,0x209,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Forward Mean,0x771,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Forward StdDev,0x20d,16bits,100,0,Coherent RTS Data,(16 bits),
State 2 RTS Forward StdDev,0x781,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Reverse Min,0x211,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Reverse Min,0x791,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Reverse Max,0x215,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Reverse Max,0x7a1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Reverse Mean,0x219,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Reverse Mean,0x7b1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Reverse StdDev,0x21d,16bits,100,0,Coherent RTS Data,(16 bits),
State 2 RTS Reverse StdDev,0x7c1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Delivered Min,0x241,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Delivered Min,0x7d1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Delivered Max,0x245,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Delivered Max,0x7e1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Delivered Mean,0x249,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Delivered Mean,0x7f1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Delivered StdDev,0x24d,16bits,100,0,Coherent RTS Data,(16 bits),
State 2 RTS Delivered StdDev,0x801,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Gamma Mag Squared Min,0x221,16bits,1000,0,Coherent RTS Data,,
State 2 RTS Gamma Mag Squared Max,0x225,16bits,1000,0,Coherent RTS Data,,
State 2 RTS Gamma Mag Squared Mean,0x229,16bits,1000,0,Coherent RTS Data,,
State 2 RTS Gamma Mag Squared StdDev,0x22d,16bits,10000,0,Coherent RTS Data,,
State 3 RTS Forward Min,0x202,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Forward Min,0x752,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Forward Max,0x206,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Forward Max,0x762,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Forward Mean,0x20a,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Forward Mean,0x772,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Forward StdDev,0x20e,16bits,100,0,Coherent RTS Data,(16 bits),
State 3 RTS Forward StdDev,0x782,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Reverse Min,0x212,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Reverse Min,0x792,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Reverse Max,0x216,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Reverse Max,0x7a2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Reverse Mean,0x21a,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Reverse Mean,0x7b2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Reverse StdDev,0x21e,16bits,100,0,Coherent RTS Data,(16 bits),
State 3 RTS Reverse StdDev,0x7c2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Delivered Min,0x242,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Delivered Min,0x7d2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Delivered Max,0x246,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Delivered Max,0x7e2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Delivered Mean,0x24a,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Delivered Mean,0x7f2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Delivered StdDev,0x24e,16bits,100,0,Coherent RTS Data,(16 bits),
State 3 RTS Delivered StdDev,0x802,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Gamma Mag Squared Min,0x222,16bits,1000,0,Coherent RTS Data,,
State 3 RTS Gamma Mag Squared Max,0x226,16bits,1000,0,Coherent RTS Data,,
State 3 RTS Gamma Mag Squared Mean,0x22a,16bits,1000,0,Coherent RTS Data,,
State 3 RTS Gamma Mag Squared StdDev,0x22e,16bits,10000,0,Coherent RTS Data,,
State 4 RTS Forward Min,0x203,16bits,0,0,Coherent RTS Data,(16 bits),
